local,elapsed_time,cpu_percent,virtual_memory_percent,accuracy,ROC,train_elapsed_time,train_cpu_percent,train_virtual_memory_percent
1,24.927491426467896,24.7,40.6,0.8362566215420836,0.917823770809135,16.34953808784485,28.2,17.5
2,13.15972900390625,33.8,17.6,0.8435446009389671,0.9206083050567605,8.971112728118896,61.0,17.6
4,12.976667642593384,56.0,18.3,0.8346512451315945,0.9165465142291688,7.704815149307251,33.0,18.7
6,10.762937307357788,29.9,18.5,0.8385225523854622,0.9213380260517289,6.502172946929932,43.7,18.8
8,12.308561325073242,49.7,19.2,0.8446177478435543,0.9230054591630118,6.333779335021973,34.0,19.1
